"Date","Montant EUR","Description","N°/Type","Mémo","Compte","Catégorie","Pointé","Labels"
"09/09/2014","700.00","CHQ 6069419 FAV STE D'EQUIPEMENTS MO","porte blindée","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","Equipement"
"09/09/2014","30.00","3xCiment + 3xgravier","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"09/09/2014","250.00","Main d'oeuvre: Peintre","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Peintre"
"09/09/2014","20.00","sable","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"08/09/2014","20.00","briques","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"07/09/2014","1000.00","Main d'oeuvres travaux: el 3id","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Maçon"
"06/09/2014","100.00","siphon simple + inox + accessoires","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Matos;plomberie"
"06/09/2014","17.00","Ciment","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"06/09/2014","45.00","Peinture","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"06/09/2014","1634.00","Meuble + accessoires sdb","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Equipement"
"05/09/2014","608.00","CHQ 4319149 FAV SANI BAINS DISTRIBUTION","","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","Equipement"
"05/09/2014","233.00","CHQ 6069411 FAV SANI BAINS DISTRIBUTION","","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","Equipement"
"05/09/2014","224.00","CHQ 6069412 FAV ASKRI SLAHEDDINE","","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","maconnerie"
"05/09/2014","111.00","CHQ 6069414 FAV ASKRI SLAHEDDINE","","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","maconnerie"
"05/09/2014","150.00","Menuisier","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Menuisier"
"04/09/2014","3056.97","CHQ 6069406 FAV SOCIETE LA VILLA","","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","Equipement"
"04/09/2014","300.00","Main d'oeuvre: Peintre","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Peintre"
"03/09/2014","60.00","Peinture","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"02/09/2014","218.00","CHQ 6069408 FAV SOCI T  LUMI RE MAHBOUBIN","faience cuisine","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","maconnerie"
"02/09/2014","144.00","CHQ 6069410 FAV MR CHETTAOUI WALID","Marbre","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","maconnerie"
"01/09/2014","21.00","CHQ 6069407 FAV STE SOBAQUE","","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","maconnerie"
"30/08/2014","20.00","Transport déchets","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","divers;Ouvrier"
"30/08/2014","7.00","siphon + cache flexible","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Matos;plomberie"
"30/08/2014","500.00","Main d'oeuvres travaux: el 3id","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Maçon"
"30/08/2014","1000.00","Main d'oeuvre Saff: kamel","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Staffeur"
"29/08/2014","440.00","Peinture","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"28/08/2014","53.86","CHQ 6069405 FAV STE SOBAQUE","carreaux joint + ciment colle","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","maconnerie"
"27/08/2014","1650.00","CHQ 6069404 FAV IDEAL CUISINE SARL","dressing","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","Equipement"
"26/08/2014","20.00","Transport déchets","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","divers;Ouvrier"
"26/08/2014","25.00","sable","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"26/08/2014","185.00","Ciment","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"25/08/2014","672.00","CHQ 6069401 FAV ASKRI SLAHEDDINE","revetement cuisine","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","maconnerie"
"22/08/2014","500.00","Main d'oeuvres travaux: el 3id","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Maçon"
"20/08/2014","75.00","Marbre pour fenetre chambre a coucher","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Matos"
"20/08/2014","50.00","Découpe plinthe partie nuit","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"19/08/2014","1000.00","CHQ 4319146 FAV STE D'EQUIPEMENTS MO","semobat (porte blindée)","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","Equipement"
"19/08/2014","323.09","CHQ 4319143 FAV SICERAM PLUS","faience wc","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","maconnerie"
"19/08/2014","30.56","CHQ 4319148 FAV STE SOBAQUE","ciment colle","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","maconnerie"
"16/08/2014","32.00","2 x Ciment colle + 7kg carreaux joint","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"16/08/2014","1000.00","Main d'oeuvres travaux: el 3id","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Maçon"
"15/08/2014","34.00","3x Ciment colle","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"15/08/2014","30.00","Main d'oeuvre Saff: Azouz","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Staffeur"
"12/08/2014","1000.00","Main d'oeuvre Saff: kamel","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Staffeur"
"12/08/2014","1000.00","Matériel Electricité","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","electricité"
"11/08/2014","32.00","briques","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"11/08/2014","170.00","Ciment","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"11/08/2014","50.00","sable","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"11/08/2014","15.00","Transport sable","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","divers;Matos"
"11/08/2014","40.00","Transport déchets","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","divers;Ouvrier"
"09/08/2014","50.00","Transport déchets","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","divers;Ouvrier"
"09/08/2014","12.00","Extracteur","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Matos;plomberie"
"09/08/2014","600.00","Matériel plomberie","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Matos;plomberie"
"09/08/2014","500.00","Main d'oeuvres travaux: el 3id","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Maçon"
"05/08/2014","12.00","4xBaguette pour faience","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"05/08/2014","-131.00","Remboursement Siceram (par terre sdb)","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"02/08/2014","180.00","Matériel plomberie: deux douchettes","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Matos;plomberie"
"02/08/2014","600.00","Main d'oeuvre plomberie: Khaled","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Plombier"
"25/07/2014","50.00","Evacuation déchets plombier & electricien","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Ouvrier"
"25/07/2014","500.00","Main d'oeuvres travaux: el 3id","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Maçon"
"25/07/2014","500.00","Main d'oeuvre Saff: kamel","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Staffeur"
"25/07/2014","600.00","Main d'oeuvre Electricien: Sofiane","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Electricien"
"24/07/2014","5.00","Baguette pour faience","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"22/07/2014","400.00","Main d'oeuvre plomberie: Khaled","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Plombier"
"22/07/2014","500.00","Matériel plomberie","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Matos;plomberie"
"21/07/2014","15.00","chaine + balais","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"21/07/2014","6.00","4 sacs de gravier","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"19/07/2014","500.00","Main d'oeuvres travaux: el 3id","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Maçon"
"18/07/2014","15.00","Transport sable","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","divers;Matos"
"18/07/2014","20.00","Evacuation déchets","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","divers;Matos"
"18/07/2014","70.00","Ciment","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"18/07/2014","40.00","sable","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"16/07/2014","76.43","CHQ 4319139 FAV STE COMAF DE DISTRIBUTION","","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"14/07/2014","6.00","Grillages","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"12/07/2014","1500.00","Matériel plomberie","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Matos;plomberie"
"12/07/2014","500.00","Main d'oeuvres travaux: el 3id","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Maçon"
"10/07/2014","262.96","CHQ 4319138 FAV STE COMAF DE DISTRIBUTION","Caissons pour volets","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"08/07/2014","190.00","briques + transport","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"08/07/2014","20.00","Transport des caissons pour volets","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","divers;Matos"
"05/07/2014","500.00","Main d'oeuvres travaux: el 3id","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Maçon"
"30/06/2014","1371.09","CHQ 4319136 FAV SOCIETE M.A.D","chassis pour portes coulissante","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","Matos"
"27/06/2014","80.00","sable","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"27/06/2014","655.00","Ciment & briques","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"27/06/2014","140.00","évacuation déchets","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","divers;Matos"
"27/06/2014","800.00","Main d'oeuvres travaux: el 3id","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Maçon"
"21/06/2014","500.00","Main d'oeuvres travaux: el 3id","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Maçon"
"16/06/2014","3517.00","CHQ 4319132 FAV SANI BAINS DISTRIBUTION","revetement chambre, mélangeur, bain","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","Matos;plomberie"
"10/06/2014","1740.00","CHQ 4319130 FAV SOCIETE LA FINITION","revetement salon","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"10/06/2014","830.00","CHQ 4319131 FAV SICERAM PLUS","revetement sdb","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"09/06/2014","3115.99","CHQ 4319127 FAV SOCIETE LA VILLA","cuisine","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","Matos"
