"Date","N°/Type","Description","Mémo","Montant EUR","Compte","Catégorie","Pointé","Labels"
"30/07/2014","","INT/ CREDIT LONG TERME HABITAT DU 27/07/2","","-477.44","> Crédits> Appartement","> Actifs> Comptes chèques> Amen","NON",""
"30/07/2014","","CHQ 4319142 FAV EL KAMEL             HATE","","-60.00","> Dépenses> Auto> Essence","> Actifs> Comptes chèques> Amen","NON",""
"30/07/2014","","ATM SOUK ETTROUK","","-50.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"24/07/2014","","AGBA                  DENDEN","","-34.00","> Dépenses> Auto> Essence","> Actifs> Comptes chèques> Amen","NON",""
"24/07/2014","","CARREFOUR TUNIS","","-15.40","> Dépenses> Quotidien> Produits","> Actifs> Comptes chèques> Amen","NON",""
"24/07/2014","","CARREFOUR TUNIS","","-12.34","> Dépenses> Quotidien> Produits","> Actifs> Comptes chèques> Amen","NON",""
"24/07/2014","","CION/VIRT RECU","","-1.42","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"24/07/2014","","VIR O/ST MICRO ELECTRONICS S.A","","1425.90","> Revenus> Salaires","> Actifs> Comptes chèques> Amen","NON",""
"22/07/2014","","LA VILLA","serviettes","-187.43","> Dépenses> Logement> chez moi> Equipement","> Actifs> Comptes chèques> Amen","NON",""
"22/07/2014","","SHELL MENZAH 9","","-43.00","> Dépenses> Auto> Essence","> Actifs> Comptes chèques> Amen","NON",""
"22/07/2014","","CION  AMENNET P1 07/14","","-4.00","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"22/07/2014","","TVA SUR AMENNET P1 07/14","","-0.72","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"21/07/2014","","ATM CARNOY","","-400.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"21/07/2014","","ATM CARNOY","","-400.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"21/07/2014","","ATM CARNOY","","-400.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"21/07/2014","","LA VILLA","serviettes","-310.00","> Dépenses> Logement> chez moi> Equipement","> Actifs> Comptes chèques> Amen","NON",""
"21/07/2014","","RECH TN USSD 21072014 058140720081","","-5.00","> Dépenses> Quotidien> Communications> Portable","> Actifs> Comptes chèques> Amen","NON",""
"18/07/2014","","MONOPRIX EL MANAR","","-19.14","> Dépenses> Quotidien> Produits","> Actifs> Comptes chèques> Amen","NON",""
"17/07/2014","","CHQ 4319141 FAV DALLALI SYRINE","","-500.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"16/07/2014","","CHQ 4319139 FAV STE COMAF DE DISTRIBUTION","","-76.43","> Actifs> Maison> travaux","> Actifs> Comptes chèques> Amen","NON","maconnerie;Matos"
"14/07/2014","","ATM EL MANAR CAMPUS","","-600.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"14/07/2014","","ATM EL MANAR CAMPUS","","-500.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"14/07/2014","","ATM EL MANAR CAMPUS","","-500.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"14/07/2014","","ATM EL MANAR CAMPUS","","-190.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"11/07/2014","","CHQ 4319137 FAV ALMERIA STATION","","-61.00","> Dépenses> Auto> Essence","> Actifs> Comptes chèques> Amen","NON",""
"10/07/2014","","CHQ 4319138 FAV STE COMAF DE DISTRIBUTION","Caissons pour volets","-262.96","> Actifs> Maison> travaux","> Actifs> Comptes chèques> Amen","NON","maconnerie;Matos"
"08/07/2014","","INTERET AU  30/06/14","","-4.41","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"07/07/2014","","ATM EL MANAR CAMPUS","","-600.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"07/07/2014","","ATM EL MANAR CAMPUS","","-500.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"07/07/2014","","ATM EL MANAR CAMPUS","","-400.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"01/07/2014","","FRAIS TENUE COMPTE AU 30/06/2014","","-11.80","> Dépenses> Banque> AGIOS","> Actifs> Comptes chèques> Amen","NON",""
"30/06/2014","","CHQ 4319136 FAV SOCIETE M.A.D","chassis pour portes coulissante","-1371.09","> Actifs> Maison> travaux","> Actifs> Comptes chèques> Amen","NON","Matos"
"30/06/2014","","DAB CACS AB","","-300.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"30/06/2014","","DAB CACS AB","","-300.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"30/06/2014","","STEG","","-147.80","> Dépenses> Logement> chez moi> Factures","> Actifs> Comptes chèques> Amen","NON",""
"30/06/2014","","DAB CACS AUTRE BQ","","-100.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"30/06/2014","","RES. BELLE VUE","","-95.00","> Dépenses> Loisirs> Restaurant","> Actifs> Comptes chèques> Amen","NON",""
"30/06/2014","","STE HAMTEL","","-20.00","> Dépenses> Quotidien> Communications> Portable","> Actifs> Comptes chèques> Amen","NON",""
"30/06/2014","","CION/RET DAB","","-1.10","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"30/06/2014","","TVA/CION RET DAB","","-0.20","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"27/06/2014","","INT/ CREDIT LONG TERME HABITAT DU 27/06/2","","-490.15","> Crédits> Appartement","> Actifs> Comptes chèques> Amen","NON",""
"27/06/2014","","REGLEMENT  EFFET  AU : 27062014","","-280.01","> Crédits> Appartement","> Actifs> Comptes chèques> Amen","NON",""
"27/06/2014","","CION/REGLEMENT EFFET","","-2.95","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"26/06/2014","","CION  AMENNET P1 06/14","","-4.00","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"26/06/2014","","TVA SUR AMENNET P1 06/14","","-0.72","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"25/06/2014","","CION/VIRT RECU","","-1.42","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"25/06/2014","","VIR O/ST MICRO ELECTRONICS S.A","","1370.38","> Revenus> Salaires","> Actifs> Comptes chèques> Amen","NON",""
"23/06/2014","","CHQ 4319134 FAV MAXULA BOURSE","","-2000.00","> Actifs> Placement> Casier","> Actifs> Comptes chèques> Amen","NON",""
"23/06/2014","","LA VILLA","couverts","-132.16","> Dépenses> Logement> chez moi> Equipement","> Actifs> Comptes chèques> Amen","NON",""
"23/06/2014","","LA VILLA","Casserolle","-43.33","> Dépenses> Logement> chez moi> Equipement","> Actifs> Comptes chèques> Amen","NON",""
"20/06/2014","","LA VILLA","","-35.40","> Dépenses> Logement> chez moi> Equipement","> Actifs> Comptes chèques> Amen","NON",""
"19/06/2014","","CHQ 4319133 FAV HATEM TAKALI -OIL LIBYA","","-59.00","> Dépenses> Auto> Essence","> Actifs> Comptes chèques> Amen","NON",""
"16/06/2014","","CHQ 4319132 FAV SANI BAINS DISTRIBUTION","revetement chambre, mélangeur, bain","-3517.00","> Actifs> Maison> travaux","> Actifs> Comptes chèques> Amen","NON","Matos;plomberie"
"16/06/2014","","CHQ 3577381 FAV MAXULA BOURSE","","-3000.00","> Actifs> Placement> Casier","> Actifs> Comptes chèques> Amen","NON",""
"16/06/2014","","COMMISION DE REALISATION TRR TRR225155","","-22.64","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"16/06/2014","","COMMISSION DE TENUE DE DOSSIER SUR  TRR22","","-15.00","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"16/06/2014","","RECUPERATION FRAIS SUR MESSAGE SWIF TRR22","","-15.00","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"16/06/2014","","RECUPERATION FRAIS PORT DE LETTRE TRR2251","","-5.00","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"16/06/2014","","TVA/COMMISION DE REALISATION TRR TRR22515","","-4.08","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"16/06/2014","","TVA/COMMISSION DE TENUE DE DOSSIER  TRR22","","-2.70","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"16/06/2014","","TVA/RECUPERATION FRAIS SUR MESSAGE  TRR22","","-2.70","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"16/06/2014","","TVA/RECUPERATION FRAIS PORT DE LETT TRR22","","-0.90","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"16/06/2014","","TRANSFERT RECU DE L'ETRANGER EN DEV TRR22","","10985.00","> Revenus> apport famille","> Actifs> Comptes chèques> Amen","NON",""
"10/06/2014","","CHQ 4319130 FAV SOCIETE LA FINITION","revetement salon","-1740.00","> Actifs> Maison> travaux","> Actifs> Comptes chèques> Amen","NON","maconnerie;Matos"
"10/06/2014","","CHQ 4319131 FAV SICERAM PLUS","revetement sdb","-830.00","> Actifs> Maison> travaux","> Actifs> Comptes chèques> Amen","NON","maconnerie;Matos"
"10/06/2014","","CHQ 4319128 FAV HATEM TAKALI -OIL LIBYA","","-58.00","> Dépenses> Auto> Essence","> Actifs> Comptes chèques> Amen","NON",""
"09/06/2014","","CHQ 4319127 FAV SOCIETE LA VILLA","cuisine","-3115.99","> Actifs> Maison> travaux","> Actifs> Comptes chèques> Amen","NON","Matos"
"09/06/2014","","CHQ 4319126 FAV MOALLA THAMEUR","","-327.00","> Dépenses> Auto> Assurance/vignette","> Actifs> Comptes chèques> Amen","NON",""
"09/06/2014","","ENC 1 CHQ","","10000.00","> Actifs> Placement> Bourse> Compte bourse moon","> Actifs> Comptes chèques> Amen","NON",""
"06/06/2014","","CION ENC/ 1 CHQ 4169","","-0.70","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"06/06/2014","","TVA SUR CION ENCAISSEMENT","","-0.13","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"06/06/2014","","VERSEMENT 05820140606VER413","","2000.00","> Actifs> Placement> Bourse> Compte bourse principal","> Actifs> Comptes chèques> Amen","NON",""
"04/06/2014","","TAXES MUNICIPALES","","-52.49","> Dépenses> Logement> chez moi> Factures","> Actifs> Comptes chèques> Amen","NON",""
"02/06/2014","","STE HAMTEL","","-15.00","> Dépenses> Quotidien> Communications> Portable","> Actifs> Comptes chèques> Amen","NON",""
"30/05/2014","","GEANT TUNIS CITY","","-40.40","> Dépenses> Quotidien> Produits","> Actifs> Comptes chèques> Amen","NON",""
"29/05/2014","","SHELL MENZAH 9","","-58.00","> Dépenses> Auto> Essence","> Actifs> Comptes chèques> Amen","NON",""
"27/05/2014","","INT/ CREDIT LONG TERME HABITAT DU 27/05/2","","-477.24","> Crédits> Appartement","> Actifs> Comptes chèques> Amen","NON",""
"27/05/2014","","REGLEMENT  EFFET  AU : 27052014","","-294.19","> Crédits> Appartement","> Actifs> Comptes chèques> Amen","NON",""
"27/05/2014","","CION  AMENNET P1 05/14","","-4.00","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"27/05/2014","","CION/REGLEMENT EFFET","","-2.95","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"27/05/2014","","CION/VIRT RECU","","-1.42","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"27/05/2014","","TVA SUR AMENNET P1 05/14","","-0.72","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"27/05/2014","","VIR O/ST MICRO ELECTRONICS S.A","","1370.37","> Revenus> Salaires","> Actifs> Comptes chèques> Amen","NON",""
"23/05/2014","","STE HAMTEL","","-30.00","> Dépenses> Quotidien> Communications> Portable","> Actifs> Comptes chèques> Amen","NON",""
"22/05/2014","","CHQ 3577393 FAV MR SAKKA HASSEN","","-59.00","> Dépenses> Auto> Essence","> Actifs> Comptes chèques> Amen","NON",""
"21/05/2014","","DOCKSIDER CHAUSSURES  TUNIS AERO   000TN","","-175.00","> Dépenses> Achats & Shopping> Vêtements","> Actifs> Comptes chèques> Amen","NON",""
"21/05/2014","","CHQ 3577385 FAV S T E R","","-39.00","> Dépenses> Auto> Essence","> Actifs> Comptes chèques> Amen","NON",""
"19/05/2014","","ABT NLLE ARIANA","","-60.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"19/05/2014","","CHQ 3577392 FAV ABDELKEFI ZOUHA","","-43.00","> Dépenses> Auto> Essence","> Actifs> Comptes chèques> Amen","NON",""
"19/05/2014","","CION/RET DAB","","-1.00","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"19/05/2014","","TVA/CION RET DAB","","-0.18","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"15/05/2014","","CHQ 3577391 FAV HATEM TAKALI -OIL LIBYA","","-47.00","> Dépenses> Auto> Essence","> Actifs> Comptes chèques> Amen","NON",""
"12/05/2014","","STE LA VILLA","","-75.40","> Dépenses> Achats & Shopping> Cadeaux> Moi","> Actifs> Comptes chèques> Amen","NON",""
"09/05/2014","","STEG","","-394.10","> Dépenses> Logement> chez moi> Factures","> Actifs> Comptes chèques> Amen","NON",""
"09/05/2014","","STE HAMTEL","","-20.00","> Dépenses> Quotidien> Communications> Portable","> Actifs> Comptes chèques> Amen","NON",""
"09/05/2014","","RECH TN USSD 09052014 058140508420","","-5.00","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"07/05/2014","","CHQ 3577390 FAV ZOUHAIER ABDELKEFI (SHELL","","-53.00","> Dépenses> Auto> Essence","> Actifs> Comptes chèques> Amen","NON",""
"06/05/2014","","ENC 1 CHQ","","2790.00","> Dépenses> Avances","> Actifs> Comptes chèques> Amen","NON",""
"05/05/2014","","ATM EL MENZAH VI       TUNIS","","-400.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"05/05/2014","","CION ENC/ 1 CHQ 7760","","-0.70","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"05/05/2014","","TVA SUR CION ENCAISSEMENT","","-0.13","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"02/05/2014","","STE ALL SPORT","chaussures sport","-138.00","> Dépenses> Achats & Shopping> Vêtements","> Actifs> Comptes chèques> Amen","NON",""
"02/05/2014","","DAB CACS AB","","-100.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"01/05/2014","","CHQ 3577389 FAV TUNISIE VALEURS","","-2850.00","> Dépenses> Avances","> Actifs> Comptes chèques> Amen","NON",""
"30/04/2014","","CION.CARTE 04/14","","-80.00","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"30/04/2014","","CION.CARTE 04/14","","-20.00","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"29/04/2014","","DAB BNA DU 22.04.14","","-20.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"29/04/2014","","CION DAB 22.04.14","","-0.90","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"29/04/2014","","TVA DAB 22.04.14","","-0.16","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"28/04/2014","","INT/ CREDIT LONG TERME HABITAT DU 27/04/2","","-494.44","> Crédits> Appartement","> Actifs> Comptes chèques> Amen","NON",""
"28/04/2014","","REGLEMENT  EFFET  AU : 27042014","","-276.57","> Crédits> Appartement","> Actifs> Comptes chèques> Amen","NON",""
"28/04/2014","","CHQ 3577388 FAV HATEM TAKALI -OIL LIBYA","","-51.00","> Dépenses> Auto> Essence","> Actifs> Comptes chèques> Amen","NON",""
"28/04/2014","","DAB CACS AUTRE BQ","","-20.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"28/04/2014","","CION  AMENNET P1 04/14","","-4.00","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"28/04/2014","","CION/REGLEMENT EFFET","","-2.95","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"28/04/2014","","CION/RET DAB","","-0.90","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"28/04/2014","","TVA SUR AMENNET P1 04/14","","-0.72","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"28/04/2014","","TVA/CION RET DAB","","-0.16","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"25/04/2014","","CION/VIRT RECU","","-1.42","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"25/04/2014","","VIR O/ST MICRO ELECTRONICS S.A","","4288.49","> Revenus> Salaires","> Actifs> Comptes chèques> Amen","NON",""
"15/04/2014","","STE HAMTEL","","-15.00","> Dépenses> Quotidien> Communications> Portable","> Actifs> Comptes chèques> Amen","NON",""
"08/04/2014","","CHQ 3577387 FAV DALENDA GATTAS SHELL SOUK","","-55.00","> Dépenses> Auto> Essence","> Actifs> Comptes chèques> Amen","NON",""
"07/04/2014","","INTERET AU  31/03/14","","-0.69","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"02/04/2014","","STE HAMTEL","","-20.00","> Dépenses> Quotidien> Communications> Portable","> Actifs> Comptes chèques> Amen","NON",""
"02/04/2014","","SONEDE","","-18.40","> Dépenses> Logement> chez moi> Factures","> Actifs> Comptes chèques> Amen","NON",""
"01/04/2014","","FRAIS TENUE COMPTE AU 31/03/2014","","-11.80","> Dépenses> Banque> AGIOS","> Actifs> Comptes chèques> Amen","NON",""
"28/03/2014","","SHELL ETTADHAMEN","","-35.00","> Dépenses> Auto> Essence","> Actifs> Comptes chèques> Amen","NON",""
"27/03/2014","","INT/ CREDIT LONG TERME HABITAT DU 27/03/2","","-446.17","> Crédits> Appartement","> Actifs> Comptes chèques> Amen","NON",""
"27/03/2014","","REGLEMENT  EFFET  AU : 27032014","","-322.84","> Crédits> Appartement","> Actifs> Comptes chèques> Amen","NON",""
"27/03/2014","","CION  AMENNET P1 03/14","","-4.00","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"27/03/2014","","CION/REGLEMENT EFFET","","-2.95","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"27/03/2014","","CION/VIRT RECU","","-1.42","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"27/03/2014","","TVA SUR AMENNET P1 03/14","","-0.72","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"27/03/2014","","VIR O/ST MICRO ELECTRONICS S.A","","1392.53","> Revenus> Salaires","> Actifs> Comptes chèques> Amen","NON",""
"24/03/2014","","PIZZERIA LA BOTTEGA","","-90.00","> Dépenses> Loisirs> Restaurant","> Actifs> Comptes chèques> Amen","NON",""
"24/03/2014","","SHELL MENZAH 9","","-43.00","> Dépenses> Auto> Essence","> Actifs> Comptes chèques> Amen","NON",""
"17/03/2014","","DAB CACS AB","","-100.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"17/03/2014","","RESTAURANT DAR EL JELD","","-44.50","> Dépenses> Loisirs> Restaurant","> Actifs> Comptes chèques> Amen","NON",""
"17/03/2014","","RECH TN USSD 17032014 058140315989","","-5.00","> Dépenses> Quotidien> Communications> Portable","> Actifs> Comptes chèques> Amen","NON",""
"14/03/2014","","CHQ 3577384 FAV HATEM TAKALI -OIL LIBYA","","-60.00","> Dépenses> Auto> Essence","> Actifs> Comptes chèques> Amen","NON",""
"14/03/2014","","SONEDE","","-35.70","> Dépenses> Logement> chez moi> Factures","> Actifs> Comptes chèques> Amen","NON",""
"12/03/2014","","RECH TN USSD 12032014 058140312838","","-10.00","> Dépenses> Quotidien> Communications> Portable","> Actifs> Comptes chèques> Amen","NON",""
"10/03/2014","","VERRE SOUFFLE SADIKA","","-60.00","> Dépenses> Logement> chez moi> Equipement","> Actifs> Comptes chèques> Amen","NON",""
"10/03/2014","","MONOPRIX EL MANAR","","-36.23","> Dépenses> Quotidien> Produits","> Actifs> Comptes chèques> Amen","NON",""
"03/03/2014","","DAB CACS AB","","-100.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"03/03/2014","","SHELL","","-55.00","> Dépenses> Auto> Essence","> Actifs> Comptes chèques> Amen","NON",""
"03/03/2014","","STEG","","-24.30","> Dépenses> Logement> Autres","> Actifs> Comptes chèques> Amen","NON",""
"03/03/2014","","STEG","","-8.50","> Dépenses> Logement> chez moi> Factures","> Actifs> Comptes chèques> Amen","NON",""
"28/02/2014","","CHQ 3577382 FAV ULYSSE HYPER DISTRIBUTION","kit casseroles tefal","-269.00","> Dépenses> Logement> chez moi> Equipement","> Actifs> Comptes chèques> Amen","NON",""
"27/02/2014","","INT/ CREDIT LONG TERME HABITAT DU 27/02/2","","-497.95","> Crédits> Appartement","> Actifs> Comptes chèques> Amen","NON",""
"27/02/2014","","REGLEMENT  EFFET  AU : 27022014","","-272.99","> Crédits> Appartement","> Actifs> Comptes chèques> Amen","NON",""
"27/02/2014","","CION/REGLEMENT EFFET","","-2.95","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
